"ID"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"txid1527"	0	0	0	1	0	0	1	0	0
"txid433286"	0	1	0	2	1	0	1	0	0
"txid1727145"	0	0	0	1	0	0	1	1	0
"txid259063"	0	2	1	3	1	6	5	1	3
"txid100134"	0	0	0	0	0	1	0	0	0
"txid1812858"	0	2	0	0	0	0	1	1	0
"txid1745713"	0	0	0	0	0	0	1	0	1
"txid2606636"	10	28	11	16	23	23	44	10	13
"txid1912897"	0	3	0	3	0	6	2	3	1
"txid2696678"	0	1	0	0	0	1	0	0	0
"txid1796615"	0	1	0	2	0	1	1	6	0
"txid1532"	0	2	2	5	1	2	3	3	1
"txid536633"	59	77	64	21	19	37	27	131	34
"txid2025493"	0	5	8	2	1	6	4	12	7
"txid53443"	0	0	0	0	0	0	1	0	0
"txid2779518"	0	0	2	0	0	0	0	1	0
"txid89014"	0	0	0	0	1	0	0	0	0
"txid1917868"	0	1	0	0	0	0	0	0	0
"txid1121114"	0	2	2	4	1	5	3	3	1
"txid1796616"	0	2	0	0	0	1	1	0	0
"txid180164"	0	0	1	0	0	1	1	3	0
"txid871664"	0	1	0	0	0	1	2	1	0
"txid45851"	2	9	2	5	4	6	4	10	3
"txid831"	0	1	5	5	2	4	4	5	1
"txid185008"	6	0	1	1	3	1	3	10	1
"txid43305"	0	2	1	4	0	4	4	1	3
"txid673271"	1	0	1	0	0	0	0	3	0
"txid33043"	0	1	2	0	0	1	0	1	0
"txid1796618"	0	1	0	2	0	0	2	1	1
"txid2850323"	0	0	1	1	0	0	2	1	0
"txid2850322"	0	1	0	0	0	0	1	0	0
"txid2652274"	0	0	0	0	0	0	0	1	1
"txid1432052"	6	1	0	4	3	4	3	0	1
"txid208479"	37	39	20	18	32	54	54	78	22
"txid358743"	0	0	2	0	0	1	1	4	1
"txid1531"	1	5	2	3	2	3	11	1	3
"txid460384"	0	1	1	0	0	0	1	2	0
"txid2788944"	30	26	0	8	3	9	2	8	15
"txid39482"	46	21	1	6	3	5	2	11	12
"txid2726362"	4	9	0	0	0	1	0	3	2
"txid290055"	0	1	0	0	0	0	1	1	0
"txid1544"	10	15	0	5	1	8	2	6	9
"txid1912855"	0	2	1	1	0	0	0	1	0
"txid1150298"	0	0	0	0	0	0	0	1	0
"txid1408099"	0	0	0	1	0	0	0	0	0
"txid1912090"	2	3	2	4	0	0	0	3	2
"txid2885351"	2	9	2	3	5	7	12	12	5
"txid2763671"	1	2	2	3	2	0	2	1	1
"txid2763668"	0	1	0	0	0	0	0	0	1
"txid1469948"	4	8	3	5	3	5	4	5	2
"txid140626"	0	1	0	0	0	0	0	0	0
"txid29364"	0	2	1	3	1	1	3	1	3
"txid29347"	0	0	0	0	0	0	0	1	0
"txid1926283"	0	2	8	2	3	1	3	24	1
"txid1917870"	0	2	0	0	0	0	5	0	0
"txid1871021"	0	1	0	0	0	0	1	1	1
"txid1852382"	2	5	11	7	2	10	8	20	3
"txid36832"	0	0	0	0	0	0	1	1	1
"txid94868"	0	0	1	1	0	1	0	1	1
"txid253257"	2	10	14	3	3	1	6	15	2
"txid1286362"	10	10	64	12	9	8	8	80	7
"txid69825"	1	5	35	5	3	7	5	41	2
"txid84030"	0	3	2	1	0	3	0	7	1
"txid29370"	1	1	15	4	3	2	4	27	3
"txid29375"	0	1	0	0	0	1	1	0	0
"txid168384"	0	4	1	4	1	4	6	7	3
"txid1298596"	0	0	0	1	0	0	0	0	0
"txid411470"	29	11	6	5	2	3	1	31	5
"txid471875"	0	0	0	4	0	0	0	1	1
"txid33039"	0	2	0	0	0	1	0	0	1
"txid1653435"	0	2	0	0	0	0	0	2	1
"txid1337051"	2	1	0	0	0	2	1	2	0
"txid796944"	12	63	22	62	29	55	81	58	36
"txid796943"	223	312	98	292	198	224	411	209	243
"txid237576"	207	275	102	227	197	250	377	239	196
"txid2606632"	2	15	5	18	3	13	25	14	10
"txid2763669"	0	2	0	3	0	4	4	5	1
"txid301302"	0	1	2	2	1	1	2	1	1
"txid585394"	0	0	0	0	0	0	0	1	0
"txid536231"	0	0	0	0	0	1	0	0	0
"txid622312"	0	1	0	0	0	1	0	1	1
"txid2605790"	0	0	0	0	0	1	3	0	1
"txid1653434"	0	0	0	0	0	0	1	0	0
"txid2681861"	0	1	0	0	0	0	0	0	0
"txid84037"	0	0	0	1	0	0	2	0	0
"txid2606634"	0	0	0	0	0	0	0	1	0
"txid2606635"	7	11	8	13	5	4	6	6	6
"txid2763667"	143	113	94	91	174	127	158	104	84
"txid290052"	0	0	0	0	0	0	0	1	0
"txid1673717"	1	1	4	0	2	0	0	11	1
"txid642589"	0	1	1	0	0	0	0	1	0
"txid1632013"	0	2	0	4	0	0	1	0	0
"txid292800"	7	6	6	2	4	3	16	75	3
"txid1535"	2	1	5	0	1	0	1	16	1
"txid2741"	6	17	10	1	1	0	1	6	3
"txid1643805"	0	2	1	0	0	0	0	0	0
"txid2086584"	0	0	0	1	0	1	0	0	0
"txid384638"	0	2	0	0	0	0	0	0	1
"txid2654621"	1274	1067	794	963	844	1162	1042	1246	799
"txid742816"	1196	789	483	684	956	463	363	741	1011
"txid158847"	194	472	101	277	304	279	308	460	698
"txid491921"	5	43	74	36	8	27	13	45	35
"txid135083"	0	0	1	2	0	0	0	0	0
"txid209880"	37	35	4	51	81	30	56	13	90
"txid156456"	0	0	0	1	1	3	1	0	1
"txid1852378"	0	2	1	3	2	3	2	1	4
"txid1852379"	1	9	1	7	3	10	9	1	9
"txid1122219"	0	0	0	0	0	1	0	0	0
"txid1064535"	516	396	98	459	1039	444	502	286	458
"txid1675036"	0	0	1	0	0	2	2	0	2
"txid1588748"	0	1	0	0	0	0	0	0	0
"txid879612"	158	185	39	265	450	293	323	118	251
"txid1232428"	246	116	33	167	527	157	179	98	166
"txid187326"	9	16	3	19	45	35	32	14	23
"txid349095"	64	237	40	299	258	333	372	157	284
"txid2144175"	61	80	19	92	217	100	103	63	90
"txid349094"	0	1	0	2	1	3	1	3	2
"txid1111454"	0	2	1	1	2	0	2	3	1
"txid2045301"	3	41	13	52	23	60	59	41	44
"txid1936062"	0	1	0	0	0	0	0	0	0
"txid479436"	1	0	1	1	1	0	0	0	1
"txid103892"	0	0	0	0	0	1	0	0	0
"txid850"	0	0	45	1	0	0	0	1	0
"txid1196653"	0	0	1	0	0	0	0	0	0
"txid852"	0	0	12	0	0	0	0	1	0
"txid856"	33	19	704	2	3	0	1	1	6
"txid1852381"	21	35	30	19	23	34	28	54	36
"txid2584944"	18	28	88	36	19	22	23	23	19
"txid1944635"	50	131	505	226	87	142	165	129	123
"txid40545"	0	0	1	0	0	0	0	0	0
"txid1795832"	0	0	1	0	0	0	0	0	0
"txid1107316"	0	0	3	0	0	0	0	0	0
"txid824"	0	0	1	0	0	0	0	0	1
"txid2762557"	0	1	2	1	0	0	0	0	0
"txid204"	2	0	0	2	0	0	0	0	0
"txid13335"	0	0	0	0	0	2	0	0	3
"txid179995"	5	10	0	98	87	149	235	0	603
"txid762983"	15	38	172	38	30	19	25	83	51
"txid83771"	0	0	0	3	0	0	1	0	5
"txid2718"	0	0	0	0	0	1	0	1	0
"txid194702"	0	0	2	0	0	0	0	0	0
"txid67826"	0	0	0	0	0	0	0	0	1
"txid562"	1	0	0	1	0	0	0	0	1
"txid585054"	382	52	1	138	2	0	0	0	141
"txid1499973"	0	0	0	3	0	0	0	0	56
"txid622"	0	2	0	2	0	0	0	0	19
"txid623"	200	42	1	85	3	0	0	0	255
"txid624"	2	3	0	5	0	0	0	0	72
"txid221276"	0	0	46	0	0	0	0	0	0
"txid549"	0	0	22	0	0	0	0	0	0
"txid574096"	0	0	8	0	0	0	0	0	0
"txid553"	0	0	17	0	0	0	0	0	0
"txid470931"	0	0	2	0	0	0	0	0	0
"txid472694"	0	0	20	0	0	0	0	0	0
"txid472705"	0	0	5	0	0	0	0	0	0
"txid1592631"	0	0	18	0	0	0	0	0	0
"txid470934"	0	0	4	0	0	0	0	0	0
"txid2050966"	0	0	1	0	0	0	0	0	0
"txid1987580"	0	0	2	0	0	0	0	0	0
"txid584"	0	0	687	0	0	0	0	0	0
"txid102862"	0	0	2	0	0	0	0	0	0
"txid280147"	0	0	4	0	0	0	0	0	0
"txid985008"	0	0	2	0	0	0	0	2	0
"txid296"	2	0	0	0	0	0	0	0	4
"txid2364649"	0	0	3	0	0	0	0	0	0
"txid2750624"	0	0	0	0	0	0	0	0	1
"txid303"	0	0	2	0	0	0	0	0	0
"txid1608994"	0	0	0	0	0	0	0	0	1
"txid2153"	0	0	5	0	0	6	2	1	1
