"ID"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"txid29391"	0	0	0	1	0	0
"txid1179782"	0	0	0	1	0	1
"txid1179787"	0	0	0	1	0	0
"txid46125"	0	0	1	0	1	0
"txid137732"	0	0	1	3	0	0
"txid889201"	0	0	1	0	0	0
"txid1156431"	0	0	0	1	0	0
"txid2382163"	0	1	0	1	0	1
"txid1547447"	1	0	1	0	0	0
"txid1305"	2	0	0	4	0	0
"txid2853160"	1	0	0	0	0	0
"txid501571"	3	24	1	0	6	1
"txid2126740"	11	14	11	3	14	7
"txid759821"	1	0	0	1	2	2
"txid1347366"	7	0	0	0	0	6
"txid1958780"	3	1	2	4	4	1
"txid1650661"	3	23	26	19	0	0
"txid2605778"	11	55	61	31	48	59
"txid2479838"	0	0	0	1	1	1
"txid2784388"	0	0	0	1	1	0
"txid1096246"	1	1	1	0	2	0
"txid154046"	1	0	0	0	2	0
"txid384636"	0	1	1	2	2	1
"txid53442"	0	3	2	0	1	0
"txid29322"	0	0	0	1	0	0
"txid1732"	0	0	0	0	1	0
"txid433286"	1	0	1	0	1	0
"txid259063"	0	0	1	1	0	1
"txid2606636"	5	16	16	13	15	6
"txid1912897"	6	9	6	4	0	0
"txid2696678"	0	0	0	0	1	1
"txid1796615"	1	2	5	0	0	1
"txid1532"	1	2	1	1	1	0
"txid2509240"	0	0	1	2	0	0
"txid536633"	61	317	219	19	42	29
"txid537007"	1	0	0	1	0	0
"txid2025493"	15	122	18	5	6	2
"txid53443"	0	0	0	1	0	1
"txid2763028"	0	0	0	1	0	0
"txid2779518"	0	0	0	0	1	0
"txid1121114"	3	10	3	1	5	1
"txid1796616"	1	2	2	3	5	0
"txid180164"	2	3	1	2	0	1
"txid45851"	0	0	1	6	2	2
"txid831"	1	1	1	3	4	3
"txid185008"	0	6	5	4	1	2
"txid43305"	0	0	0	0	5	0
"txid673271"	0	3	3	1	0	0
"txid2850322"	0	0	0	1	0	0
"txid1720294"	0	0	1	0	0	0
"txid1432052"	2	5	5	3	10	2
"txid208479"	13	44	55	35	45	76
"txid358743"	0	0	2	1	1	2
"txid1531"	1	3	6	4	10	12
"txid2788944"	2	17	6	1	9	2
"txid39482"	2	20	2	1	4	1
"txid2726362"	1	3	1	0	0	1
"txid290055"	0	0	1	0	0	0
"txid1544"	1	3	1	0	2	1
"txid1912855"	0	0	0	0	2	0
"txid1912090"	1	1	0	1	1	1
"txid1679721"	0	0	0	0	1	0
"txid2885351"	3	1	9	13	13	6
"txid2763671"	0	0	2	0	0	1
"txid1469948"	1	3	2	1	3	2
"txid140626"	0	0	0	1	0	0
"txid29364"	1	0	0	1	3	1
"txid1926283"	3	3	2	1	4	2
"txid1917870"	0	0	1	1	1	3
"txid1871021"	0	0	1	1	0	0
"txid1852382"	4	7	10	3	12	10
"txid36832"	0	1	0	0	1	1
"txid253257"	1	2	3	3	7	6
"txid1286362"	11	42	27	7	23	8
"txid69825"	6	9	4	7	19	6
"txid84030"	1	0	1	1	1	1
"txid29370"	3	9	3	0	12	3
"txid168384"	1	2	2	1	2	4
"txid1298596"	0	0	0	1	0	0
"txid411470"	7	30	7	1	9	2
"txid1653435"	1	0	0	0	0	0
"txid1337051"	0	1	3	1	2	1
"txid2068655"	1	0	0	0	1	0
"txid796944"	7	5	10	17	23	10
"txid796943"	59	99	130	82	98	86
"txid237576"	43	107	124	84	106	81
"txid2606632"	2	0	2	3	3	4
"txid2763669"	0	0	0	0	2	0
"txid301302"	1	0	0	1	1	0
"txid2605790"	0	0	0	1	1	0
"txid1653434"	1	0	0	0	1	0
"txid2681861"	0	0	0	0	1	0
"txid84037"	0	0	0	1	1	0
"txid2606635"	2	4	7	4	5	3
"txid2763667"	36	81	85	30	41	36
"txid1673717"	6	3	15	3	9	2
"txid642589"	1	0	0	1	1	0
"txid1632013"	1	0	0	1	2	0
"txid2841504"	0	0	0	1	1	1
"txid292800"	4	22	18	7	17	7
"txid1870988"	0	0	1	0	0	0
"txid2714358"	0	0	0	1	1	0
"txid214851"	0	0	0	1	0	0
"txid1535"	6	17	24	15	8	3
"txid2741"	12	31	26	1	5	7
"txid1643805"	1	0	2	0	0	1
"txid2654621"	810	870	1780	1041	1805	733
"txid742816"	398	2054	1135	525	877	466
"txid158847"	310	564	450	370	347	248
"txid491921"	30	30	24	35	89	15
"txid209880"	8	23	18	42	26	29
"txid156456"	0	0	1	1	0	0
"txid1852378"	0	0	0	1	1	1
"txid1852379"	0	0	0	1	4	1
"txid1122219"	0	0	0	1	0	0
"txid1064535"	61	223	340	177	167	225
"txid1675036"	1	0	0	1	0	0
"txid879612"	20	37	80	64	84	190
"txid1232428"	14	69	119	53	63	97
"txid187326"	1	2	6	2	5	8
"txid349095"	25	36	78	93	96	61
"txid2144175"	10	23	48	32	38	66
"txid349094"	0	0	0	0	2	1
"txid1111454"	0	0	1	1	2	1
"txid2045301"	6	2	11	13	27	17
"txid134605"	1	0	0	0	0	0
"txid850"	269	250	5	9	84	9
"txid852"	6	2	0	5	7	2
"txid856"	45	71	2	8	106	30
"txid1506471"	0	0	0	0	0	1
"txid1852381"	28	27	18	16	44	367
"txid2584944"	4	4	2	1	10	67
"txid1944635"	20	22	11	10	52	90
"txid40545"	0	0	0	0	0	1
"txid76115"	0	0	0	1	0	0
"txid13335"	1	0	1	19	0	0
"txid179995"	116	58	309	3298	0	1
"txid762983"	126	52	70	23	147	80
"txid83771"	1	0	2	24	0	0
"txid2718"	0	0	0	0	0	1
"txid565"	2	0	0	0	0	0
"txid881260"	0	0	0	0	0	1
"txid69218"	0	1	0	0	0	0
"txid2494701"	1	0	1	2	0	0
"txid550"	1	0	0	0	0	0
"txid299767"	1	0	0	1	0	2
"txid539813"	0	1	2	4	0	0
"txid2529382"	0	0	0	1	0	1
"txid2497436"	1	2	1	1	0	0
"txid2071710"	0	0	0	1	0	1
"txid2529381"	1	4	3	4	0	0
"txid562"	2	0	1	1	0	0
"txid585054"	1035	206	100	51	0	10
"txid1499973"	275	81	40	7	0	1
"txid1028307"	0	0	0	0	0	1
"txid39831"	0	0	0	0	0	1
"txid621"	1	0	0	15	0	0
"txid622"	19	2	2	0	1	464
"txid623"	1637	311	153	91	0	34
"txid624"	755	169	96	18	0	35
"txid1388748"	0	0	0	0	0	1
"txid549"	0	0	0	0	0	2
"txid2153"	3	4	0	0	5	12
