"ID"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"txid1852387"	0	0	0	0	0	0	0	1	0	0
"txid2853160"	1	0	0	0	0	2	0	7	2	1
"txid2126740"	0	0	0	4	0	0	0	0	0	2
"txid759821"	0	0	0	1	0	0	0	0	0	0
"txid1958780"	0	0	0	0	0	2	0	2	0	0
"txid29363"	0	1	0	0	0	0	0	0	0	0
"txid1502"	66	112	1	0	2	0	0	0	3	0
"txid2605778"	0	0	1	26	1	2	7	0	0	10
"txid1559"	0	30	0	0	0	0	0	0	0	0
"txid2479838"	0	0	0	4	1	0	0	1	0	0
"txid2784388"	0	0	0	1	1	0	0	0	0	0
"txid384636"	0	0	0	2	1	1	1	1	0	1
"txid29322"	0	0	0	1	0	0	0	0	0	0
"txid879566"	0	0	0	0	1	0	0	0	0	0
"txid433286"	0	0	0	1	1	0	0	0	0	0
"txid1727145"	0	0	0	1	0	0	0	0	0	0
"txid259063"	0	0	0	2	0	0	3	0	0	0
"txid1745713"	0	0	0	1	0	0	1	0	0	0
"txid2606636"	0	0	0	21	22	2	12	11	11	1
"txid1912897"	0	0	0	1	0	0	2	3	0	0
"txid1532"	0	0	0	1	0	0	0	2	0	0
"txid536633"	0	0	0	27	11	14	17	90	11	1
"txid2025493"	0	0	0	6	1	2	3	0	0	0
"txid1121114"	0	0	0	3	0	0	1	1	0	1
"txid1796616"	0	0	0	1	0	0	1	0	0	0
"txid180164"	0	0	0	1	0	0	0	0	1	0
"txid45851"	0	0	0	2	1	0	0	0	0	1
"txid831"	0	0	0	2	1	1	0	1	1	1
"txid185008"	0	0	0	1	0	0	1	0	0	0
"txid43305"	0	0	0	1	3	2	0	1	1	0
"txid33043"	0	0	0	1	0	0	1	0	0	0
"txid1796618"	0	0	0	1	0	0	0	0	0	0
"txid2850322"	0	0	0	0	1	1	0	0	0	0
"txid208479"	0	0	0	33	0	0	6	0	0	0
"txid358743"	0	0	0	1	0	0	0	0	0	0
"txid1531"	0	0	0	4	0	0	0	0	0	0
"txid460384"	0	0	0	0	0	0	0	1	0	0
"txid39482"	0	0	0	1	0	0	0	0	0	0
"txid1544"	0	0	0	2	1	0	0	0	0	0
"txid1912855"	0	0	0	1	1	0	0	0	0	1
"txid1912090"	0	0	0	0	1	1	0	2	1	0
"txid1679721"	0	0	0	1	1	0	0	0	0	0
"txid2885351"	0	0	0	8	1	2	2	0	0	0
"txid2763671"	0	0	0	2	0	1	1	0	0	0
"txid1469948"	0	0	0	4	5	1	0	1	2	3
"txid29364"	0	0	0	4	1	1	1	0	0	0
"txid29347"	0	0	0	0	1	0	0	0	0	0
"txid1917870"	0	0	0	2	0	0	0	0	0	0
"txid1852382"	0	0	0	5	1	0	0	0	0	0
"txid253257"	0	0	0	3	0	0	0	0	0	1
"txid1286362"	0	0	0	6	0	0	1	0	0	0
"txid69825"	0	0	0	1	0	0	0	0	0	1
"txid84030"	0	0	0	0	1	0	0	1	0	0
"txid29370"	0	0	0	6	0	0	1	0	0	1
"txid168384"	0	0	0	8	2	0	3	0	0	0
"txid1298596"	0	0	0	0	0	1	0	0	0	0
"txid411470"	0	0	0	1	6	13	0	5	14	1
"txid471875"	0	0	0	0	0	0	0	1	0	0
"txid1653435"	0	0	0	1	0	0	0	0	0	0
"txid796944"	0	0	0	64	27	8	30	7	3	2
"txid796943"	0	0	0	373	120	33	145	39	29	15
"txid237576"	0	0	1	259	162	38	121	50	42	49
"txid2606632"	0	0	0	27	8	1	11	1	0	1
"txid2763669"	0	0	0	6	2	0	0	1	0	0
"txid301302"	0	0	0	1	1	0	0	0	0	0
"txid2605790"	0	0	0	1	1	1	0	0	0	0
"txid2681861"	0	0	0	1	0	0	0	0	0	0
"txid84037"	0	0	0	2	0	0	2	0	0	0
"txid2606635"	0	0	0	6	3	2	2	2	6	4
"txid2763667"	0	0	3	105	6	7	40	7	24	11
"txid1673717"	0	0	0	0	0	1	0	2	0	0
"txid642589"	0	0	0	0	0	1	0	0	0	0
"txid1632013"	0	0	0	1	0	0	0	0	0	0
"txid1535"	0	0	0	0	0	3	0	5	1	1
"txid2654621"	0	0	1869	1341	2124	1005	1187	1432	727	175
"txid742816"	1155	1040	1726	403	758	1135	882	1139	933	114
"txid158847"	322	760	584	209	636	828	599	896	217	75
"txid491921"	7	50	57	28	73	95	39	83	13	12
"txid209880"	46	119	228	95	40	21	103	53	37	7
"txid156456"	0	2	0	0	0	0	1	1	0	0
"txid1852378"	0	7	0	4	2	2	11	4	0	0
"txid1852379"	1	13	1	8	3	2	11	9	0	1
"txid1122219"	0	3	0	0	0	0	0	0	0	0
"txid1064535"	401	1527	358	567	212	205	1207	414	338	81
"txid1675036"	0	6	0	1	0	1	2	0	0	0
"txid879612"	35	329	38	121	49	34	266	76	41	1
"txid1232428"	69	200	78	94	39	34	171	78	66	5
"txid187326"	3	29	4	9	3	2	18	6	0	1
"txid349095"	20	386	37	141	58	51	322	98	14	3
"txid2144175"	15	73	27	36	8	8	64	29	10	6
"txid349094"	0	4	0	1	0	1	4	0	0	0
"txid1111454"	1	3	0	3	1	1	5	0	0	1
"txid2045301"	1	77	3	28	10	8	49	17	1	0
"txid479436"	1	0	1	0	1	2	0	1	1	0
"txid103892"	0	0	0	0	0	0	0	1	0	0
"txid423477"	0	0	1	0	1	0	0	0	0	0
"txid850"	0	0	1	0	0	0	0	0	0	1
"txid856"	0	0	1	5	165	201	2	37	39	75
"txid1162717"	0	0	0	0	0	0	0	0	0	1
"txid47671"	0	0	1	0	0	0	0	0	0	0
"txid1852381"	4	5	11	47	1	3	23	2	1	38
"txid2584944"	4	14	14	15	12	35	15	18	22	327
"txid1944635"	15	160	66	137	68	283	92	149	160	50
"txid40545"	0	0	0	0	0	1	0	0	0	0
"txid539"	0	1	0	0	0	0	0	0	0	0
"txid1795832"	0	1	0	0	0	0	0	0	0	0
"txid90367"	0	0	1	0	0	1	0	1	0	0
"txid1107316"	1	2	1	0	0	4	0	3	0	1
"txid33053"	0	1	0	0	1	1	0	6	0	1
"txid2762557"	1	0	1	0	0	1	0	1	0	0
"txid13335"	0	0	0	8	5	2	4	3	0	0
"txid179995"	1	0	3	715	56	67	435	74	25	8
"txid762983"	0	0	0	84	78	40	57	60	25	4
"txid83769"	0	0	0	1	0	0	0	0	0	0
"txid83771"	0	0	0	244	136	81	173	122	49	4
"txid2718"	0	0	1	0	0	0	0	0	0	0
"txid194702"	0	0	0	0	0	0	0	0	0	1
"txid208962"	0	0	0	1	0	0	0	0	0	1
"txid562"	96	62	105	1	2	8	1	11	35	1
"txid585054"	2620	1106	68	121	3	3	6	12	35	134
"txid1499973"	0	0	0	38	0	0	1	0	0	1
"txid621"	1	1	0	50	0	0	0	0	0	2
"txid622"	0	0	0	1	0	0	0	0	0	4
"txid623"	2078	833	87	239	4	7	7	4	17	130
"txid624"	10	21	1	5	0	0	0	1	0	1
"txid2614693"	0	0	0	1	0	0	0	0	0	0
"txid714"	0	0	1	0	0	0	0	0	0	0
"txid985008"	0	2	2	0	0	2	0	6	1	0
"txid2025884"	0	2	7	0	1	2	0	3	0	1
"txid733"	0	1	0	0	0	0	0	1	0	0
"txid2094024"	0	1	0	0	0	0	0	0	0	0
"txid1461579"	0	0	0	0	1	0	0	0	0	0
"txid249188"	0	0	0	0	1	0	0	0	0	0
"txid85401"	0	0	0	0	1	0	0	0	0	0
"txid2316085"	0	2	0	0	0	0	0	0	0	0
"txid296"	0	2	0	0	0	0	0	0	0	0
